company_name,high,low,last_price,prev_close,change,percent_gain
Thermax,"3,179.20","3,112.90","3,164.00","3,085.45",78.55,2.55
Laurus Labs,622.90,608.80,621.25,605.85,15.40,2.54
ICICI Bank,"1,351.00","1,336.20","1,344.90","1,311.65",33.25,2.53
Tube Investment,"2,593.00","2,509.40","2,573.20","2,509.70",63.50,2.53
Hero Motocorp,"3,764.30","3,686.50","3,758.40","3,666.00",92.40,2.52
eClerx Services,"2,499.90","2,420.00","2,462.40","2,402.20",60.20,2.51
Hindustan Aeron,"4,250.00","4,170.80","4,210.30","4,107.20",103.10,2.51
Hindustan Aeron,"4,250.00","4,170.80","4,210.30","4,107.20",103.10,2.51
APTUS VALUE,313.40,303.80,310.00,302.45,7.55,2.5
Delhivery,253.50,247.35,253.10,246.95,6.15,2.49
Deepak Fert,"1,245.00","1,212.40","1,236.40","1,206.45",29.95,2.48
HEG,468.20,455.00,464.20,453.00,11.20,2.47
HEG,468.20,455.00,464.20,453.00,11.20,2.47
Union Bank,121.40,119.50,120.74,117.83,2.91,2.47
Jyoti CNC Auto,"1,042.50","1,019.50","1,036.20","1,011.30",24.90,2.46
Ipca Labs,"1,364.90","1,317.00","1,363.60","1,330.95",32.65,2.45
Mankind Pharma,"2,458.90","2,391.00","2,408.00","2,350.50",57.50,2.45
NMDC,64.53,63.55,64.45,62.91,1.54,2.45
Jindal Saw,256.10,250.55,253.15,247.10,6.05,2.45
Jindal Saw,256.10,250.55,253.15,247.10,6.05,2.45
Grindwell Norto,"1,655.30","1,609.10","1,639.30","1,600.20",39.10,2.44
CG Power ,589.90,580.00,586.30,572.40,13.90,2.43
Star Health,369.90,362.90,369.05,360.30,8.75,2.43
VIP Industries,274.00,268.25,273.70,267.20,6.50,2.43
Bharti Airtel,"1,820.00","1,781.10","1,799.10","1,756.60",42.50,2.42
Dalmia Bharat,"1,865.10","1,821.10","1,855.50","1,811.65",43.85,2.42
PCBL Chemical,426.70,417.55,424.65,414.60,10.05,2.42
Timken,"2,539.80","2,460.00","2,534.40","2,474.60",59.80,2.42
Bajaj Auto,"8,000.00","7,828.50","7,955.00","7,768.85",186.15,2.4
Network 18,43.05,42.51,42.79,41.79,1.00,2.39
Piramal Enter,992.00,972.00,990.85,967.75,23.10,2.39
Central Bank,35.32,34.71,35.25,34.43,0.82,2.38
MCX India,"5,580.00","5,476.50","5,570.00","5,441.45",128.55,2.36
PNC Infratech,267.00,261.55,266.35,260.20,6.15,2.36
Navin Fluorine,"4,224.00","4,110.00","4,196.00","4,099.40",96.60,2.36
Poonawalla Fin,374.95,369.65,374.90,366.30,8.60,2.35
Brigade Ent,958.00,936.00,956.35,934.60,21.75,2.33
Dixon Technolog,"14,806.00","14,502.00","14,634.00","14,301.90",332.10,2.32
Guj Mineral,282.90,280.15,282.45,276.05,6.40,2.32
RHI Magnesita,481.05,469.00,479.00,468.15,10.85,2.32
Radico Khaitan,"2,423.90","2,351.10","2,414.40","2,359.70",54.70,2.32
Schneider Infra,618.25,604.00,608.10,594.30,13.80,2.32
Blue Star,"2,022.30","1,971.10","2,012.70","1,967.20",45.50,2.31
JM Financial,98.80,96.19,97.52,95.32,2.20,2.31
Metropolis,"1,649.00","1,605.20","1,638.60","1,601.60",37.00,2.31
Ashok Leyland,214.00,210.11,213.30,208.50,4.80,2.3
JSW Steel,"1,015.70","1,003.10","1,013.00",990.25,22.75,2.3
SBI Life Insura,"1,565.00","1,525.00","1,556.80","1,521.90",34.90,2.29
General Insuran,406.55,399.90,406.40,397.35,9.05,2.28
Amara Raja,"1,005.00",990.00,997.60,975.55,22.05,2.26
CESC,158.00,155.50,157.18,153.70,3.48,2.26
ABB India,"5,272.00","5,158.50","5,258.50","5,143.30",115.20,2.24
IRCTC,747.35,735.05,747.10,730.70,16.40,2.24
Finolex Ind,175.99,173.00,175.81,171.98,3.83,2.23
IGL,179.44,175.84,178.66,174.76,3.90,2.23
Vinati Organics,"1,594.00","1,554.00","1,578.00","1,543.55",34.45,2.23
Polycab,"5,219.00","5,124.00","5,206.50","5,093.25",113.25,2.22
